[False],[False]
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
100,100,100
